entry,Ligand_Names,Ligand_SMILES,Base_SMILES,Solvent_SMILES,yield
1,P(t-Bu)3,CC(P(C(C)(C)C)C(C)(C)C)(C)C,[Na+].[OH-],N#CC,4.76
2,Triphenylphosphine,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,[Na+].[OH-],N#CC,4.12
3,Aphos,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,[Na+].[OH-],N#CC,2.58
4,Tricyclohexylphosphine,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,[Na+].[OH-],N#CC,4.44
5,P(o-tol)3,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,[Na+].[OH-],N#CC,1.95
6,"Di-(3s,5s,7s)-adamantan-1-yl(butyl)phosphine",CCCCP(C12C[C@@H]3C[C@@H](C[C@H](C2)C3)C1)C45C[C@H]6C[C@@H](C5)C[C@@H](C4)C6,[Na+].[OH-],N#CC,3.25
7,Sphos,COC1=CC=CC(OC)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,[Na+].[OH-],N#CC,86.26
8,"Ferrocene,1,1'-bis[bis(1,1-dimethylethyl)phosphino]",CC(C)(P(C(C)(C)C)[c-]1cccc1)C.CC(C)(P(C(C)(C)C)[c-]2cccc2)C.[Fe+2],[Na+].[OH-],N#CC,7.55
9,Xphos,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,[Na+].[OH-],N#CC,93.67
10,"1,1-BIS(Diphenylphosphino)Ferrocene",[c-]1(P(C2=CC=CC=C2)C3=CC=CC=C3)cccc1.[c-]4(P(C5=CC=CC=C5)C6=CC=CC=C6)cccc4.[Fe+2],[Na+].[OH-],N#CC,14.32
11,Xantphos,CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,[Na+].[OH-],N#CC,2.11
13,P(t-Bu)3,CC(P(C(C)(C)C)C(C)(C)C)(C)C,OC([O-])=O.[Na+],N#CC,3.16
14,Triphenylphosphine,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,OC([O-])=O.[Na+],N#CC,4.75
